,instance_id,label_id,label_name,filename_string,source
0,0,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_14_0.jpg,
1,1,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_17_0.jpg,
2,2,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_4_0.jpg,
3,3,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_12_0.jpg,
4,4,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_16_0.jpg,
5,5,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/anchor.jpg,
6,6,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_5_0.jpg,
7,7,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_6_0.jpg,
8,8,0,Teddy_Wilson_(musician),Teddy_Wilson_(musician)/one_Teddy_Wilson_(musician)_photos_15_0.jpg,
9,9,1,Amaris_Davidson,Amaris_Davidson/one_Amaris_Davidson_photos_1_0.jpg,
10,10,1,Amaris_Davidson,Amaris_Davidson/one_Amaris_Davidson_photos_2_0.jpg,
11,11,1,Amaris_Davidson,Amaris_Davidson/one_Amaris_Davidson_photos_4_0.jpg,
12,12,1,Amaris_Davidson,Amaris_Davidson/anchor.jpg,
13,13,1,Amaris_Davidson,Amaris_Davidson/one_Amaris_Davidson_photos_5_0.jpg,
14,14,1,Amaris_Davidson,Amaris_Davidson/one_Amaris_Davidson_photos_3_0.jpg,
15,15,1,Amaris_Davidson,Amaris_Davidson/one_Amaris_Davidson_photos_6_0.jpg,
16,16,2,Jon_Chaffin,Jon_Chaffin/anchor.jpg,
17,17,2,Jon_Chaffin,Jon_Chaffin/one_Jon_Chaffin_photos_3_0.jpg,
18,18,2,Jon_Chaffin,Jon_Chaffin/one_Jon_Chaffin_photos_1_0.jpg,
19,19,2,Jon_Chaffin,Jon_Chaffin/one_Jon_Chaffin_photos_2_0.jpg,
20,20,3,Sheneka_Adams,Sheneka_Adams/one_Sheneka_Adams_photos_7_0.jpg,
